county,precinct,office,district,candidate,party,election_day,mail,provisional,votes
Armstrong,Rayburn Twp,ATTORNEY GENERAL,,EUGENE DEPASQUALE,DEM,100,48,2,150
Armstrong,Rayburn Twp,ATTORNEY GENERAL,,ROBERT COWBURN,LIB,11,0,1,12
Armstrong,Rayburn Twp,ATTORNEY GENERAL,,JUSTIN L MAGILL,CST,7,0,0,7
Armstrong,Rayburn Twp,ATTORNEY GENERAL,,RICHARD L WEISS,GRN,3,0,0,3
Armstrong,Rayburn Twp,ATTORNEY GENERAL,,ERIC L SETTLE,FWD,2,1,0,3
Armstrong,Rayburn Twp,ATTORNEY GENERAL,,Write-ins,,0,0,0,0
Armstrong,Rayburn Twp,ATTORNEY GENERAL,,Unresolved Write-In,,0,0,0,0
Armstrong,Rayburn Twp,AUDITOR GENERAL,,TIM DEFOOR,REP,464,127,3,594
Armstrong,Rayburn Twp,AUDITOR GENERAL,,MALCOLM KENYATTA,DEM,95,49,1,145
Armstrong,Rayburn Twp,AUDITOR GENERAL,,REECE SMITH,LIB,13,2,1,16
Armstrong,Rayburn Twp,AUDITOR GENERAL,,BOB GOODRICH,CST,11,0,0,11
Armstrong,Rayburn Twp,AUDITOR GENERAL,,ERIC K ANTON,ASP,3,0,0,3
Armstrong,Rayburn Twp,AUDITOR GENERAL,,Write-ins,,0,0,0,0
Armstrong,Rayburn Twp,AUDITOR GENERAL,,Unresolved Write-In,,0,0,0,0
Armstrong,Rayburn Twp,STATE TREASURER,,STACY GARRITY,REP,468,128,2,598
Armstrong,Rayburn Twp,STATE TREASURER,,ERIN MCCLELLAND,DEM,95,48,2,145
Armstrong,Rayburn Twp,STATE TREASURER,,NICKOLAS CIESIELSKI,LIB,11,2,0,13
Armstrong,Rayburn Twp,STATE TREASURER,,TROY BOWMAN,CST,10,0,1,11
Armstrong,Rayburn Twp,STATE TREASURER,,CHRIS FOSTER,FWD,5,0,1,6
Armstrong,Rayburn Twp,STATE TREASURER,,Write-ins,,0,0,0,0
Armstrong,Rayburn Twp,STATE TREASURER,,Unresolved Write-In,,0,0,0,0
Armstrong,Rayburn Twp,U.S. House,15,GLENN GT THOMPSON,REP,490,131,4,625
Armstrong,Rayburn Twp,U.S. House,15,ZACH WOMER,DEM,99,46,2,147
Armstrong,Rayburn Twp,U.S. House,15,Write-ins,,0,0,0,0
Armstrong,Rayburn Twp,U.S. House,15,Unresolved Write-In,,0,0,0,0
Armstrong,Rayburn Twp,State Senate,41,JOE PITTMAN,REP,533,151,5,689
Armstrong,Rayburn Twp,State Senate,41,Write-ins,,14,7,0,21
Armstrong,Rayburn Twp,State Senate,41,Unresolved Write-In,,0,0,0,0
Armstrong,Rayburn Twp,State House,63,JOSH BASHLINE,REP,478,128,4,610
Armstrong,Rayburn Twp,State House,63,PAT RITCHIE,DEM,110,47,1,158
Armstrong,Rayburn Twp,State House,63,Write-ins,,0,1,0,1
Armstrong,Rayburn Twp,State House,63,Unresolved Write-In,,0,0,0,0
Armstrong,Redbank Twp,Registered Voters,,,,,,,647
Armstrong,Redbank Twp,Ballots Cast,,,,465,71,3,539
Armstrong,Redbank Twp,PRESIDENT,,DONALD J TRUMP,REP,425,48,3,476
Armstrong,Redbank Twp,PRESIDENT,,KAMALA D HARRIS,DEM,37,23,0,60
Armstrong,Redbank Twp,PRESIDENT,,CHASE OLIVER,LIB,1,0,0,1
Armstrong,Redbank Twp,PRESIDENT,,JILL STEIN,GRN,0,0,0,0
Armstrong,Redbank Twp,PRESIDENT,,Write-ins,,2,0,0,2
Armstrong,Redbank Twp,PRESIDENT,,SHIVA AYYADURAI,,0,0,0,0
Armstrong,Redbank Twp,PRESIDENT,,Unresolved Write-In,,0,0,0,0
Armstrong,Redbank Twp,U.S. SENATE,,DAVE MCCORMICK,REP,418,47,3,468
Armstrong,Redbank Twp,U.S. SENATE,,ROBERT P CASEY JR,DEM,37,23,0,60
Armstrong,Redbank Twp,U.S. SENATE,,JOHN C THOMAS,LIB,4,0,0,4
Armstrong,Redbank Twp,U.S. SENATE,,MARTY SELKER,CST,1,1,0,2
Armstrong,Redbank Twp,U.S. SENATE,,LEILA HAZOU,GRN,0,0,0,0
Armstrong,Redbank Twp,U.S. SENATE,,Write-ins,,0,0,0,0
Armstrong,Redbank Twp,U.S. SENATE,,Unresolved Write-In,,0,0,0,0
Armstrong,Redbank Twp,ATTORNEY GENERAL,,DAVE SUNDAY,REP,421,49,3,473
Armstrong,Redbank Twp,ATTORNEY GENERAL,,EUGENE DEPASQUALE,DEM,28,21,0,49
Armstrong,Redbank Twp,ATTORNEY GENERAL,,ROBERT COWBURN,LIB,4,0,0,4
Armstrong,Redbank Twp,ATTORNEY GENERAL,,JUSTIN L MAGILL,CST,2,1,0,3
Armstrong,Redbank Twp,ATTORNEY GENERAL,,RICHARD L WEISS,GRN,1,0,0,1
Armstrong,Redbank Twp,ATTORNEY GENERAL,,ERIC L SETTLE,FWD,0,0,0,0
Armstrong,Redbank Twp,ATTORNEY GENERAL,,Write-ins,,0,0,0,0
Armstrong,Redbank Twp,ATTORNEY GENERAL,,Unresolved Write-In,,0,0,0,0
Armstrong,Redbank Twp,AUDITOR GENERAL,,TIM DEFOOR,REP,415,48,3,466
Armstrong,Redbank Twp,AUDITOR GENERAL,,MALCOLM KENYATTA,DEM,33,22,0,55
Armstrong,Redbank Twp,AUDITOR GENERAL,,BOB GOODRICH,CST,4,0,0,4
Armstrong,Redbank Twp,AUDITOR GENERAL,,REECE SMITH,LIB,2,1,0,3
Armstrong,Redbank Twp,AUDITOR GENERAL,,ERIC K ANTON,ASP,0,0,0,0
Armstrong,Redbank Twp,AUDITOR GENERAL,,Write-ins,,0,0,0,0
Armstrong,Redbank Twp,AUDITOR GENERAL,,Unresolved Write-In,,0,0,0,0
Armstrong,Redbank Twp,STATE TREASURER,,STACY GARRITY,REP,420,47,3,470
Armstrong,Redbank Twp,STATE TREASURER,,ERIN MCCLELLAND,DEM,29,22,0,51
Armstrong,Redbank Twp,STATE TREASURER,,TROY BOWMAN,CST,6,0,0,6
Armstrong,Redbank Twp,STATE TREASURER,,NICKOLAS CIESIELSKI,LIB,1,2,0,3
Armstrong,Redbank Twp,STATE TREASURER,,CHRIS FOSTER,FWD,0,0,0,0
Armstrong,Redbank Twp,STATE TREASURER,,Write-ins,,0,0,0,0
Armstrong,Redbank Twp,STATE TREASURER,,Unresolved Write-In,,0,0,0,0
Armstrong,Redbank Twp,U.S. House,15,GLENN GT THOMPSON,REP,418,46,3,467
Armstrong,Redbank Twp,U.S. House,15,ZACH WOMER,DEM,32,23,0,55
Armstrong,Redbank Twp,U.S. House,15,Write-ins,,0,0,0,0
Armstrong,Redbank Twp,U.S. House,15,Unresolved Write-In,,0,0,0,0
Armstrong,Redbank Twp,State Senate,41,JOE PITTMAN,REP,430,60,3,493
Armstrong,Redbank Twp,State Senate,41,Write-ins,,1,3,0,4
Armstrong,Redbank Twp,State Senate,41,Unresolved Write-In,,0,0,0,0
Armstrong,Redbank Twp,State House,63,JOSH BASHLINE,REP,421,48,3,472
Armstrong,Redbank Twp,State House,63,PAT RITCHIE,DEM,32,23,0,55
Armstrong,Redbank Twp,State House,63,Write-ins,,1,0,0,1
Armstrong,Redbank Twp,State House,63,Unresolved Write-In,,0,0,0,0
Armstrong,Rural Valley Boro,Registered Voters,,,,,,,566
Armstrong,Rural Valley Boro,Ballots Cast,,,,403,64,0,467
Armstrong,Rural Valley Boro,PRESIDENT,,DONALD J TRUMP,REP,312,35,0,347
Armstrong,Rural Valley Boro,PRESIDENT,,KAMALA D HARRIS,DEM,88,28,0,116
Armstrong,Rural Valley Boro,PRESIDENT,,CHASE OLIVER,LIB,1,1,0,2
Armstrong,Rural Valley Boro,PRESIDENT,,JILL STEIN,GRN,1,0,0,1
Armstrong,Rural Valley Boro,PRESIDENT,,Write-ins,,0,0,0,0
Armstrong,Rural Valley Boro,PRESIDENT,,SHIVA AYYADURAI,,0,0,0,0
Armstrong,Rural Valley Boro,PRESIDENT,,Unresolved Write-In,,0,0,0,0
Armstrong,Rural Valley Boro,U.S. SENATE,,DAVE MCCORMICK,REP,300,36,0,336
Armstrong,Rural Valley Boro,U.S. SENATE,,ROBERT P CASEY JR,DEM,91,24,0,115
Armstrong,Rural Valley Boro,U.S. SENATE,,JOHN C THOMAS,LIB,8,2,0,10
Armstrong,Rural Valley Boro,U.S. SENATE,,LEILA HAZOU,GRN,1,0,0,1
Armstrong,Rural Valley Boro,U.S. SENATE,,MARTY SELKER,CST,0,0,0,0
Armstrong,Rural Valley Boro,U.S. SENATE,,Write-ins,,1,0,0,1
Armstrong,Rural Valley Boro,U.S. SENATE,,Unresolved Write-In,,0,0,0,0
Armstrong,Rural Valley Boro,ATTORNEY GENERAL,,DAVE SUNDAY,REP,298,34,0,332
Armstrong,Rural Valley Boro,ATTORNEY GENERAL,,EUGENE DEPASQUALE,DEM,90,25,0,115
Armstrong,Rural Valley Boro,ATTORNEY GENERAL,,ROBERT COWBURN,LIB,4,3,0,7
Armstrong,Rural Valley Boro,ATTORNEY GENERAL,,JUSTIN L MAGILL,CST,3,0,0,3
Armstrong,Rural Valley Boro,ATTORNEY GENERAL,,RICHARD L WEISS,GRN,1,0,0,1
Armstrong,Rural Valley Boro,ATTORNEY GENERAL,,ERIC L SETTLE,FWD,1,0,0,1
Armstrong,Rural Valley Boro,ATTORNEY GENERAL,,Write-ins,,1,0,0,1
Armstrong,Rural Valley Boro,ATTORNEY GENERAL,,Unresolved Write-In,,0,0,0,0
Armstrong,Rural Valley Boro,AUDITOR GENERAL,,TIM DEFOOR,REP,304,37,0,341
Armstrong,Rural Valley Boro,AUDITOR GENERAL,,MALCOLM KENYATTA,DEM,80,24,0,104
Armstrong,Rural Valley Boro,AUDITOR GENERAL,,BOB GOODRICH,CST,7,0,0,7
Armstrong,Rural Valley Boro,AUDITOR GENERAL,,REECE SMITH,LIB,3,1,0,4
Armstrong,Rural Valley Boro,AUDITOR GENERAL,,ERIC K ANTON,ASP,2,0,0,2
Armstrong,Rural Valley Boro,AUDITOR GENERAL,,Write-ins,,1,0,0,1
Armstrong,Rural Valley Boro,AUDITOR GENERAL,,Unresolved Write-In,,0,0,0,0
Armstrong,Rural Valley Boro,STATE TREASURER,,STACY GARRITY,REP,308,35,0,343
Armstrong,Rural Valley Boro,STATE TREASURER,,ERIN MCCLELLAND,DEM,78,25,0,103
Armstrong,Rural Valley Boro,STATE TREASURER,,NICKOLAS CIESIELSKI,LIB,5,1,0,6
Armstrong,Rural Valley Boro,STATE TREASURER,,CHRIS FOSTER,FWD,4,0,0,4
Armstrong,Rural Valley Boro,STATE TREASURER,,TROY BOWMAN,CST,1,1,0,2
Armstrong,Rural Valley Boro,STATE TREASURER,,Write-ins,,1,0,0,1
Armstrong,Rural Valley Boro,STATE TREASURER,,Unresolved Write-In,,0,0,0,0
Armstrong,Rural Valley Boro,U.S. House,15,GLENN GT THOMPSON,REP,311,40,0,351
Armstrong,Rural Valley Boro,U.S. House,15,ZACH WOMER,DEM,80,23,0,103
Armstrong,Rural Valley Boro,U.S. House,15,Write-ins,,1,0,0,1
Armstrong,Rural Valley Boro,U.S. House,15,Unresolved Write-In,,0,0,0,0
Armstrong,Rural Valley Boro,State Senate,41,JOE PITTMAN,REP,369,50,0,419
Armstrong,Rural Valley Boro,State Senate,41,Write-ins,,5,0,0,5
Armstrong,Rural Valley Boro,State Senate,41,Unresolved Write-In,,0,0,0,0
Armstrong,Rural Valley Boro,State House,63,JOSH BASHLINE,REP,322,37,0,359
Armstrong,Rural Valley Boro,State House,63,PAT RITCHIE,DEM,74,25,0,99
Armstrong,Rural Valley Boro,State House,63,Write-ins,,0,0,0,0
Armstrong,Rural Valley Boro,State House,63,Unresolved Write-In,,0,0,0,0
Armstrong,South Bend Twp,Registered Voters,,,,,,,738
Armstrong,South Bend Twp,Ballots Cast,,,,537,89,2,628
Armstrong,South Bend Twp,PRESIDENT,,DONALD J TRUMP,REP,454,62,2,518
Armstrong,South Bend Twp,PRESIDENT,,KAMALA D HARRIS,DEM,81,27,0,108
Armstrong,South Bend Twp,PRESIDENT,,CHASE OLIVER,LIB,1,0,0,1
Armstrong,South Bend Twp,PRESIDENT,,JILL STEIN,GRN,0,0,0,0
Armstrong,South Bend Twp,PRESIDENT,,Write-ins,,0,0,0,0
Armstrong,South Bend Twp,PRESIDENT,,SHIVA AYYADURAI,,0,0,0,0
Armstrong,South Bend Twp,PRESIDENT,,Unresolved Write-In,,0,0,0,0
Armstrong,South Bend Twp,U.S. SENATE,,DAVE MCCORMICK,REP,421,57,2,480
Armstrong,South Bend Twp,U.S. SENATE,,ROBERT P CASEY JR,DEM,97,28,0,125
Armstrong,South Bend Twp,U.S. SENATE,,JOHN C THOMAS,LIB,7,2,0,9
Armstrong,South Bend Twp,U.S. SENATE,,LEILA HAZOU,GRN,2,0,0,2
Armstrong,South Bend Twp,U.S. SENATE,,MARTY SELKER,CST,0,0,0,0
Armstrong,South Bend Twp,U.S. SENATE,,Write-ins,,0,0,0,0
Armstrong,South Bend Twp,U.S. SENATE,,Unresolved Write-In,,0,0,0,0
Armstrong,South Bend Twp,ATTORNEY GENERAL,,DAVE SUNDAY,REP,429,63,2,494
Armstrong,South Bend Twp,ATTORNEY GENERAL,,EUGENE DEPASQUALE,DEM,88,22,0,110
Armstrong,South Bend Twp,ATTORNEY GENERAL,,ROBERT COWBURN,LIB,6,1,0,7
Armstrong,South Bend Twp,ATTORNEY GENERAL,,RICHARD L WEISS,GRN,3,0,0,3
Armstrong,South Bend Twp,ATTORNEY GENERAL,,JUSTIN L MAGILL,CST,1,0,0,1
Armstrong,South Bend Twp,ATTORNEY GENERAL,,ERIC L SETTLE,FWD,1,0,0,1
Armstrong,South Bend Twp,ATTORNEY GENERAL,,Write-ins,,0,0,0,0
Armstrong,South Bend Twp,ATTORNEY GENERAL,,Unresolved Write-In,,0,0,0,0
Armstrong,South Bend Twp,AUDITOR GENERAL,,TIM DEFOOR,REP,431,61,2,494
Armstrong,South Bend Twp,AUDITOR GENERAL,,MALCOLM KENYATTA,DEM,76,23,0,99
Armstrong,South Bend Twp,AUDITOR GENERAL,,REECE SMITH,LIB,10,1,0,11
Armstrong,South Bend Twp,AUDITOR GENERAL,,BOB GOODRICH,CST,5,0,0,5
Armstrong,South Bend Twp,AUDITOR GENERAL,,ERIC K ANTON,ASP,2,0,0,2
Armstrong,South Bend Twp,AUDITOR GENERAL,,Write-ins,,0,0,0,0
Armstrong,South Bend Twp,AUDITOR GENERAL,,Unresolved Write-In,,0,0,0,0
Armstrong,South Bend Twp,STATE TREASURER,,STACY GARRITY,REP,437,59,2,498
Armstrong,South Bend Twp,STATE TREASURER,,ERIN MCCLELLAND,DEM,77,25,0,102
Armstrong,South Bend Twp,STATE TREASURER,,NICKOLAS CIESIELSKI,LIB,4,2,0,6
Armstrong,South Bend Twp,STATE TREASURER,,TROY BOWMAN,CST,3,0,0,3
Armstrong,South Bend Twp,STATE TREASURER,,CHRIS FOSTER,FWD,2,0,0,2
Armstrong,South Bend Twp,STATE TREASURER,,Write-ins,,0,0,0,0
Armstrong,South Bend Twp,STATE TREASURER,,Unresolved Write-In,,0,0,0,0
Armstrong,South Bend Twp,U.S. House,15,GLENN GT THOMPSON,REP,429,62,2,493
Armstrong,South Bend Twp,U.S. House,15,ZACH WOMER,DEM,89,24,0,113
Armstrong,South Bend Twp,U.S. House,15,Write-ins,,0,0,0,0
Armstrong,South Bend Twp,U.S. House,15,Unresolved Write-In,,0,0,0,0
Armstrong,South Bend Twp,State Senate,41,JOE PITTMAN,REP,474,73,2,549
Armstrong,South Bend Twp,State Senate,41,Write-ins,,3,4,0,7
Armstrong,South Bend Twp,State Senate,41,Unresolved Write-In,,0,0,0,0
Armstrong,South Bend Twp,State House,60,ABBY MAJOR,REP,490,73,2,565
Armstrong,South Bend Twp,State House,60,Write-ins,,4,6,0,10
Armstrong,South Bend Twp,State House,60,Unresolved Write-In,,0,0,0,0
Armstrong,South Bethlehem Boro,Registered Voters,,,,,,,277
Armstrong,South Bethlehem Boro,Ballots Cast,,,,190,40,0,230
Armstrong,South Bethlehem Boro,PRESIDENT,,DONALD J TRUMP,REP,167,27,0,194
Armstrong,South Bethlehem Boro,PRESIDENT,,KAMALA D HARRIS,DEM,22,13,0,35
Armstrong,South Bethlehem Boro,PRESIDENT,,CHASE OLIVER,LIB,0,0,0,0
Armstrong,South Bethlehem Boro,PRESIDENT,,JILL STEIN,GRN,0,0,0,0
Armstrong,South Bethlehem Boro,PRESIDENT,,Write-ins,,0,0,0,0
Armstrong,South Bethlehem Boro,PRESIDENT,,SHIVA AYYADURAI,,0,0,0,0
Armstrong,South Bethlehem Boro,PRESIDENT,,Unresolved Write-In,,0,0,0,0
Armstrong,South Bethlehem Boro,U.S. SENATE,,DAVE MCCORMICK,REP,147,25,0,172
Armstrong,South Bethlehem Boro,U.S. SENATE,,ROBERT P CASEY JR,DEM,32,13,0,45
Armstrong,South Bethlehem Boro,U.S. SENATE,,MARTY SELKER,CST,6,0,0,6
Armstrong,South Bethlehem Boro,U.S. SENATE,,JOHN C THOMAS,LIB,1,1,0,2
Armstrong,South Bethlehem Boro,U.S. SENATE,,LEILA HAZOU,GRN,1,1,0,2
Armstrong,South Bethlehem Boro,U.S. SENATE,,Write-ins,,0,0,0,0
Armstrong,South Bethlehem Boro,U.S. SENATE,,Unresolved Write-In,,0,0,0,0
Armstrong,South Bethlehem Boro,ATTORNEY GENERAL,,DAVE SUNDAY,REP,159,27,0,186
Armstrong,South Bethlehem Boro,ATTORNEY GENERAL,,EUGENE DEPASQUALE,DEM,25,13,0,38
Armstrong,South Bethlehem Boro,ATTORNEY GENERAL,,ROBERT COWBURN,LIB,2,0,0,2
Armstrong,South Bethlehem Boro,ATTORNEY GENERAL,,RICHARD L WEISS,GRN,2,0,0,2
Armstrong,South Bethlehem Boro,ATTORNEY GENERAL,,JUSTIN L MAGILL,CST,0,0,0,0
Armstrong,South Bethlehem Boro,ATTORNEY GENERAL,,ERIC L SETTLE,FWD,0,0,0,0
Armstrong,South Bethlehem Boro,ATTORNEY GENERAL,,Write-ins,,0,0,0,0
Armstrong,South Bethlehem Boro,ATTORNEY GENERAL,,Unresolved Write-In,,0,0,0,0
Armstrong,South Bethlehem Boro,AUDITOR GENERAL,,TIM DEFOOR,REP,157,27,0,184
Armstrong,South Bethlehem Boro,AUDITOR GENERAL,,MALCOLM KENYATTA,DEM,23,12,0,35
Armstrong,South Bethlehem Boro,AUDITOR GENERAL,,REECE SMITH,LIB,3,0,0,3
Armstrong,South Bethlehem Boro,AUDITOR GENERAL,,BOB GOODRICH,CST,2,1,0,3
Armstrong,South Bethlehem Boro,AUDITOR GENERAL,,ERIC K ANTON,ASP,1,0,0,1
Armstrong,South Bethlehem Boro,AUDITOR GENERAL,,Write-ins,,0,0,0,0
Armstrong,South Bethlehem Boro,AUDITOR GENERAL,,Unresolved Write-In,,0,0,0,0
Armstrong,South Bethlehem Boro,STATE TREASURER,,STACY GARRITY,REP,157,26,0,183
Armstrong,South Bethlehem Boro,STATE TREASURER,,ERIN MCCLELLAND,DEM,25,12,0,37
Armstrong,South Bethlehem Boro,STATE TREASURER,,TROY BOWMAN,CST,2,1,0,3
Armstrong,South Bethlehem Boro,STATE TREASURER,,CHRIS FOSTER,FWD,3,0,0,3
Armstrong,South Bethlehem Boro,STATE TREASURER,,NICKOLAS CIESIELSKI,LIB,1,1,0,2
Armstrong,South Bethlehem Boro,STATE TREASURER,,Write-ins,,0,0,0,0
Armstrong,South Bethlehem Boro,STATE TREASURER,,Unresolved Write-In,,0,0,0,0
Armstrong,South Bethlehem Boro,U.S. House,15,GLENN GT THOMPSON,REP,164,28,0,192
Armstrong,South Bethlehem Boro,U.S. House,15,ZACH WOMER,DEM,21,12,0,33
Armstrong,South Bethlehem Boro,U.S. House,15,Write-ins,,0,0,0,0
Armstrong,South Bethlehem Boro,U.S. House,15,Unresolved Write-In,,0,0,0,0
Armstrong,South Bethlehem Boro,State Senate,41,JOE PITTMAN,REP,171,32,0,203
Armstrong,South Bethlehem Boro,State Senate,41,Write-ins,,3,2,0,5
Armstrong,South Bethlehem Boro,State Senate,41,Unresolved Write-In,,0,0,0,0
Armstrong,South Bethlehem Boro,State House,63,JOSH BASHLINE,REP,166,27,0,193
Armstrong,South Bethlehem Boro,State House,63,PAT RITCHIE,DEM,22,13,0,35
Armstrong,South Bethlehem Boro,State House,63,Write-ins,,0,0,0,0
Armstrong,South Bethlehem Boro,State House,63,Unresolved Write-In,,0,0,0,0
Armstrong,South Buffalo Twp-East,Registered Voters,,,,,,,944
Armstrong,South Buffalo Twp-East,Ballots Cast,,,,648,173,2,823
Armstrong,South Buffalo Twp-East,PRESIDENT,,DONALD J TRUMP,REP,532,96,0,628
Armstrong,South Buffalo Twp-East,PRESIDENT,,KAMALA D HARRIS,DEM,109,77,2,188
Armstrong,South Buffalo Twp-East,PRESIDENT,,CHASE OLIVER,LIB,5,0,0,5
Armstrong,South Buffalo Twp-East,PRESIDENT,,JILL STEIN,GRN,1,0,0,1
Armstrong,South Buffalo Twp-East,PRESIDENT,,Write-ins,,1,0,0,1
Armstrong,South Buffalo Twp-East,PRESIDENT,,SHIVA AYYADURAI,,0,0,0,0
Armstrong,South Buffalo Twp-East,PRESIDENT,,Unresolved Write-In,,0,0,0,0
Armstrong,South Buffalo Twp-East,U.S. SENATE,,DAVE MCCORMICK,REP,512,95,0,607
Armstrong,South Buffalo Twp-East,U.S. SENATE,,ROBERT P CASEY JR,DEM,115,75,2,192
Armstrong,South Buffalo Twp-East,U.S. SENATE,,JOHN C THOMAS,LIB,12,2,0,14
Armstrong,South Buffalo Twp-East,U.S. SENATE,,LEILA HAZOU,GRN,3,0,0,3
Armstrong,South Buffalo Twp-East,U.S. SENATE,,MARTY SELKER,CST,2,1,0,3
Armstrong,South Buffalo Twp-East,U.S. SENATE,,Write-ins,,1,0,0,1
Armstrong,South Buffalo Twp-East,U.S. SENATE,,Unresolved Write-In,,0,0,0,0
Armstrong,South Buffalo Twp-East,ATTORNEY GENERAL,,DAVE SUNDAY,REP,506,97,0,603
Armstrong,South Buffalo Twp-East,ATTORNEY GENERAL,,EUGENE DEPASQUALE,DEM,116,71,2,189
Armstrong,South Buffalo Twp-East,ATTORNEY GENERAL,,ROBERT COWBURN,LIB,8,1,0,9
Armstrong,South Buffalo Twp-East,ATTORNEY GENERAL,,JUSTIN L MAGILL,CST,3,2,0,5
Armstrong,South Buffalo Twp-East,ATTORNEY GENERAL,,RICHARD L WEISS,GRN,2,0,0,2
Armstrong,South Buffalo Twp-East,ATTORNEY GENERAL,,ERIC L SETTLE,FWD,1,0,0,1
Armstrong,South Buffalo Twp-East,ATTORNEY GENERAL,,Write-ins,,1,0,0,1
Armstrong,South Buffalo Twp-East,ATTORNEY GENERAL,,Unresolved Write-In,,0,0,0,0
Armstrong,South Buffalo Twp-East,AUDITOR GENERAL,,TIM DEFOOR,REP,513,99,0,612
Armstrong,South Buffalo Twp-East,AUDITOR GENERAL,,MALCOLM KENYATTA,DEM,103,64,2,169
Armstrong,South Buffalo Twp-East,AUDITOR GENERAL,,REECE SMITH,LIB,10,4,0,14
Armstrong,South Buffalo Twp-East,AUDITOR GENERAL,,BOB GOODRICH,CST,5,1,0,6
Armstrong,South Buffalo Twp-East,AUDITOR GENERAL,,ERIC K ANTON,ASP,2,1,0,3
Armstrong,South Buffalo Twp-East,AUDITOR GENERAL,,Write-ins,,1,0,0,1
Armstrong,South Buffalo Twp-East,AUDITOR GENERAL,,Unresolved Write-In,,0,0,0,0
Armstrong,South Buffalo Twp-East,STATE TREASURER,,STACY GARRITY,REP,510,101,0,611
Armstrong,South Buffalo Twp-East,STATE TREASURER,,ERIN MCCLELLAND,DEM,105,63,2,170
Armstrong,South Buffalo Twp-East,STATE TREASURER,,NICKOLAS CIESIELSKI,LIB,10,2,0,12
Armstrong,South Buffalo Twp-East,STATE TREASURER,,TROY BOWMAN,CST,5,3,0,8
Armstrong,South Buffalo Twp-East,STATE TREASURER,,CHRIS FOSTER,FWD,0,0,0,0
Armstrong,South Buffalo Twp-East,STATE TREASURER,,Write-ins,,2,0,0,2
Armstrong,South Buffalo Twp-East,STATE TREASURER,,Unresolved Write-In,,0,0,0,0
Armstrong,South Buffalo Twp-East,U.S. House,15,GLENN GT THOMPSON,REP,520,100,0,620
Armstrong,South Buffalo Twp-East,U.S. House,15,ZACH WOMER,DEM,106,70,2,178
Armstrong,South Buffalo Twp-East,U.S. House,15,Write-ins,,2,1,0,3
Armstrong,South Buffalo Twp-East,U.S. House,15,Unresolved Write-In,,0,0,0,0
Armstrong,South Buffalo Twp-East,State Senate,41,JOE PITTMAN,REP,569,130,0,699
Armstrong,South Buffalo Twp-East,State Senate,41,Write-ins,,7,5,1,13
Armstrong,South Buffalo Twp-East,State Senate,41,Unresolved Write-In,,0,0,0,0
Armstrong,South Buffalo Twp-East,State House,60,ABBY MAJOR,REP,586,134,0,720
Armstrong,South Buffalo Twp-East,State House,60,Write-ins,,8,7,1,16
Armstrong,South Buffalo Twp-East,State House,60,Unresolved Write-In,,0,0,0,0
Armstrong,South Buffalo Twp-West,Registered Voters,,,,,,,1129
Armstrong,South Buffalo Twp-West,Ballots Cast,,,,763,196,8,967
Armstrong,South Buffalo Twp-West,PRESIDENT,,DONALD J TRUMP,REP,630,127,5,762
Armstrong,South Buffalo Twp-West,PRESIDENT,,KAMALA D HARRIS,DEM,126,66,3,195
Armstrong,South Buffalo Twp-West,PRESIDENT,,CHASE OLIVER,LIB,2,0,0,2
Armstrong,South Buffalo Twp-West,PRESIDENT,,JILL STEIN,GRN,1,0,0,1
Armstrong,South Buffalo Twp-West,PRESIDENT,,Write-ins,,3,1,0,4
Armstrong,South Buffalo Twp-West,PRESIDENT,,SHIVA AYYADURAI,,0,0,0,0
Armstrong,South Buffalo Twp-West,PRESIDENT,,Unresolved Write-In,,0,0,0,0
Armstrong,South Buffalo Twp-West,U.S. SENATE,,DAVE MCCORMICK,REP,603,127,5,735
Armstrong,South Buffalo Twp-West,U.S. SENATE,,ROBERT P CASEY JR,DEM,135,68,2,205
Armstrong,South Buffalo Twp-West,U.S. SENATE,,JOHN C THOMAS,LIB,11,1,0,12
Armstrong,South Buffalo Twp-West,U.S. SENATE,,LEILA HAZOU,GRN,6,0,1,7
Armstrong,South Buffalo Twp-West,U.S. SENATE,,MARTY SELKER,CST,3,0,0,3
Armstrong,South Buffalo Twp-West,U.S. SENATE,,Write-ins,,1,0,0,1
Armstrong,South Buffalo Twp-West,U.S. SENATE,,Unresolved Write-In,,0,0,0,0
Armstrong,South Buffalo Twp-West,ATTORNEY GENERAL,,DAVE SUNDAY,REP,608,125,5,738
Armstrong,South Buffalo Twp-West,ATTORNEY GENERAL,,EUGENE DEPASQUALE,DEM,118,65,3,186
Armstrong,South Buffalo Twp-West,ATTORNEY GENERAL,,ROBERT COWBURN,LIB,13,0,0,13
Armstrong,South Buffalo Twp-West,ATTORNEY GENERAL,,RICHARD L WEISS,GRN,3,1,0,4
Armstrong,South Buffalo Twp-West,ATTORNEY GENERAL,,JUSTIN L MAGILL,CST,3,1,0,4
Armstrong,South Buffalo Twp-West,ATTORNEY GENERAL,,ERIC L SETTLE,FWD,1,2,0,3
Armstrong,South Buffalo Twp-West,ATTORNEY GENERAL,,Write-ins,,0,0,0,0
Armstrong,South Buffalo Twp-West,ATTORNEY GENERAL,,Unresolved Write-In,,0,0,0,0
Armstrong,South Buffalo Twp-West,AUDITOR GENERAL,,TIM DEFOOR,REP,594,132,5,731
Armstrong,South Buffalo Twp-West,AUDITOR GENERAL,,MALCOLM KENYATTA,DEM,122,58,3,183
