candidate,office,district,party,county,precinct,total votes,
John Joyce,US House,13,REP,Cambria,Jackson Twp - Vinco,,
Write In,US House,13,,Cambria,Jackson Twp - Vinco,,
Susan Boser,US House,15,DEM,Cambria,Jackson Twp - Vinco,219,
Glenn Gt Thompson,US House,15,REP,Cambria,Jackson Twp - Vinco,514,
Write In,US House,15,,Cambria,Jackson Twp - Vinco,1,
Bryan Barbin,State House,71,DEM,Cambria,Jackson Twp - Vinco,,
Jim Rigby,State House,71,REP,Cambria,Jackson Twp - Vinco,,
Write In,State House,71,,Cambria,Jackson Twp - Vinco,,
Frank Burns,State House,72,DEM,Cambria,Jackson Twp - Vinco,413,
Jerry Carnicella,State House,72,REP,Cambria,Jackson Twp - Vinco,320,
Write In,State House,72,,Cambria,Jackson Twp - Vinco,2,
Tommy Sankey,State House,73,DEM/REP,Cambria,Jackson Twp - Vinco,,
Write In,State House,73,,Cambria,Jackson Twp - Vinco,,
Bob Casey,U.S. Senate,,DEM,Cambria,Jackson Twp 3,231,
Lou Barletta,U.S. Senate,,REP,Cambria,Jackson Twp 3,450,
Neal Gale,U.S. Senate,,GR,Cambria,Jackson Twp 3,5,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Jackson Twp 3,6,
Write In,U.S. Senate,,,Cambria,Jackson Twp 3,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Jackson Twp 3,229,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Jackson Twp 3,456,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Jackson Twp 3,5,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Jackson Twp 3,7,
Write In,Governor & Lieutenant Governor,,,Cambria,Jackson Twp 3,0,
Brent Ottaway,US House,13,DEM,Cambria,Jackson Twp 3,,
John Joyce,US House,13,REP,Cambria,Jackson Twp 3,,
Write In,US House,13,,Cambria,Jackson Twp 3,,
Susan Boser,US House,15,DEM,Cambria,Jackson Twp 3,195,
Glenn Gt Thompson,US House,15,REP,Cambria,Jackson Twp 3,495,
Write In,US House,15,,Cambria,Jackson Twp 3,0,
Bryan Barbin,State House,71,DEM,Cambria,Jackson Twp 3,,
Jim Rigby,State House,71,REP,Cambria,Jackson Twp 3,,
Write In,State House,71,,Cambria,Jackson Twp 3,,
Frank Burns,State House,72,DEM,Cambria,Jackson Twp 3,368,
Jerry Carnicella,State House,72,REP,Cambria,Jackson Twp 3,322,
Write In,State House,72,,Cambria,Jackson Twp 3,3,
Tommy Sankey,State House,73,DEM/REP,Cambria,Jackson Twp 3,,
Write In,State House,73,,Cambria,Jackson Twp 3,,
Bob Casey,U.S. Senate,,DEM,Cambria,Lilly Boro -First Wd,55,
Lou Barletta,U.S. Senate,,REP,Cambria,Lilly Boro -First Wd,56,
Neal Gale,U.S. Senate,,GR,Cambria,Lilly Boro -First Wd,0,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Lilly Boro -First Wd,1,
Write In,U.S. Senate,,,Cambria,Lilly Boro -First Wd,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Lilly Boro -First Wd,57,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Lilly Boro -First Wd,55,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Lilly Boro -First Wd,1,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Lilly Boro -First Wd,1,
Write In,Governor & Lieutenant Governor,,,Cambria,Lilly Boro -First Wd,0,
Brent Ottaway,US House,13,DEM,Cambria,Lilly Boro -First Wd,,
John Joyce,US House,13,REP,Cambria,Lilly Boro -First Wd,,
Write In,US House,13,,Cambria,Lilly Boro -First Wd,,
Susan Boser,US House,15,DEM,Cambria,Lilly Boro -First Wd,49,
Glenn Gt Thompson,US House,15,REP,Cambria,Lilly Boro -First Wd,65,
Write In,US House,15,,Cambria,Lilly Boro -First Wd,0,
Bryan Barbin,State House,71,DEM,Cambria,Lilly Boro -First Wd,,
Jim Rigby,State House,71,REP,Cambria,Lilly Boro -First Wd,,
Write In,State House,71,,Cambria,Lilly Boro -First Wd,,
Frank Burns,State House,72,DEM,Cambria,Lilly Boro -First Wd,69,
Jerry Carnicella,State House,72,REP,Cambria,Lilly Boro -First Wd,45,
Write In,State House,72,,Cambria,Lilly Boro -First Wd,0,
Tommy Sankey,State House,73,DEM/REP,Cambria,Lilly Boro -First Wd,,
Write In,State House,73,,Cambria,Lilly Boro -First Wd,,
Bob Casey,U.S. Senate,,DEM,Cambria,Lilly Boro -Second Wd,95,
Lou Barletta,U.S. Senate,,REP,Cambria,Lilly Boro -Second Wd,94,
Neal Gale,U.S. Senate,,GR,Cambria,Lilly Boro -Second Wd,1,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Lilly Boro -Second Wd,3,
Write In,U.S. Senate,,,Cambria,Lilly Boro -Second Wd,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Lilly Boro -Second Wd,91,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Lilly Boro -Second Wd,100,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Lilly Boro -Second Wd,0,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Lilly Boro -Second Wd,2,
Write In,Governor & Lieutenant Governor,,,Cambria,Lilly Boro -Second Wd,0,
Brent Ottaway,US House,13,DEM,Cambria,Lilly Boro -Second Wd,,
John Joyce,US House,13,REP,Cambria,Lilly Boro -Second Wd,,
Write In,US House,13,,Cambria,Lilly Boro -Second Wd,,
Susan Boser,US House,15,DEM,Cambria,Lilly Boro -Second Wd,85,
Glenn Gt Thompson,US House,15,REP,Cambria,Lilly Boro -Second Wd,106,
Write In,US House,15,,Cambria,Lilly Boro -Second Wd,1,
Bryan Barbin,State House,71,DEM,Cambria,Lilly Boro -Second Wd,,
Jim Rigby,State House,71,REP,Cambria,Lilly Boro -Second Wd,,
Write In,State House,71,,Cambria,Lilly Boro -Second Wd,,
Frank Burns,State House,72,DEM,Cambria,Lilly Boro -Second Wd,107,
Jerry Carnicella,State House,72,REP,Cambria,Lilly Boro -Second Wd,85,
Write In,State House,72,,Cambria,Lilly Boro -Second Wd,0,
Tommy Sankey,State House,73,DEM/REP,Cambria,Lilly Boro -Second Wd,,
Write In,State House,73,,Cambria,Lilly Boro -Second Wd,,
Bob Casey,U.S. Senate,,DEM,Cambria,Lorain Boro,96,
Lou Barletta,U.S. Senate,,REP,Cambria,Lorain Boro,109,
Neal Gale,U.S. Senate,,GR,Cambria,Lorain Boro,0,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Lorain Boro,3,
Write In,U.S. Senate,,,Cambria,Lorain Boro,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Lorain Boro,93,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Lorain Boro,109,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Lorain Boro,2,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Lorain Boro,2,
Write In,Governor & Lieutenant Governor,,,Cambria,Lorain Boro,0,
Brent Ottaway,US House,13,DEM,Cambria,Lorain Boro,87,
John Joyce,US House,13,REP,Cambria,Lorain Boro,122,
Write In,US House,13,,Cambria,Lorain Boro,0,
Susan Boser,US House,15,DEM,Cambria,Lorain Boro,,
Glenn Gt Thompson,US House,15,REP,Cambria,Lorain Boro,,
Write In,US House,15,,Cambria,Lorain Boro,,
Bryan Barbin,State House,71,DEM,Cambria,Lorain Boro,87,
Jim Rigby,State House,71,REP,Cambria,Lorain Boro,120,
Write In,State House,71,,Cambria,Lorain Boro,1,
Frank Burns,State House,72,DEM,Cambria,Lorain Boro,,
Jerry Carnicella,State House,72,REP,Cambria,Lorain Boro,,
Write In,State House,72,,Cambria,Lorain Boro,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Lorain Boro,,
Write In,State House,73,,Cambria,Lorain Boro,,
Bob Casey,U.S. Senate,,DEM,Cambria,Loretto Boro,49,
Lou Barletta,U.S. Senate,,REP,Cambria,Loretto Boro,90,
Neal Gale,U.S. Senate,,GR,Cambria,Loretto Boro,3,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Loretto Boro,3,
Write In,U.S. Senate,,,Cambria,Loretto Boro,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Loretto Boro,48,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Loretto Boro,95,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Loretto Boro,0,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Loretto Boro,2,
Write In,Governor & Lieutenant Governor,,,Cambria,Loretto Boro,0,
Brent Ottaway,US House,13,DEM,Cambria,Loretto Boro,,
John Joyce,US House,13,REP,Cambria,Loretto Boro,,
Write In,US House,13,,Cambria,Loretto Boro,,
Susan Boser,US House,15,DEM,Cambria,Loretto Boro,50,
Glenn Gt Thompson,US House,15,REP,Cambria,Loretto Boro,95,
Write In,US House,15,,Cambria,Loretto Boro,0,
Bryan Barbin,State House,71,DEM,Cambria,Loretto Boro,,
Jim Rigby,State House,71,REP,Cambria,Loretto Boro,,
Write In,State House,71,,Cambria,Loretto Boro,,
Frank Burns,State House,72,DEM,Cambria,Loretto Boro,75,
Jerry Carnicella,State House,72,REP,Cambria,Loretto Boro,69,
Write In,State House,72,,Cambria,Loretto Boro,1,
Tommy Sankey,State House,73,DEM/REP,Cambria,Loretto Boro,,
Write In,State House,73,,Cambria,Loretto Boro,,
Bob Casey,U.S. Senate,,DEM,Cambria,Lower Yoder Twp 1,262,
Lou Barletta,U.S. Senate,,REP,Cambria,Lower Yoder Twp 1,274,
Neal Gale,U.S. Senate,,GR,Cambria,Lower Yoder Twp 1,3,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Lower Yoder Twp 1,2,
Write In,U.S. Senate,,,Cambria,Lower Yoder Twp 1,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Lower Yoder Twp 1,260,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Lower Yoder Twp 1,283,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Lower Yoder Twp 1,1,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Lower Yoder Twp 1,5,
Write In,Governor & Lieutenant Governor,,,Cambria,Lower Yoder Twp 1,0,
Brent Ottaway,US House,13,DEM,Cambria,Lower Yoder Twp 1,227,
John Joyce,US House,13,REP,Cambria,Lower Yoder Twp 1,314,
Write In,US House,13,,Cambria,Lower Yoder Twp 1,2,
Susan Boser,US House,15,DEM,Cambria,Lower Yoder Twp 1,,
Glenn Gt Thompson,US House,15,REP,Cambria,Lower Yoder Twp 1,,
Write In,US House,15,,Cambria,Lower Yoder Twp 1,,
Bryan Barbin,State House,71,DEM,Cambria,Lower Yoder Twp 1,,
Jim Rigby,State House,71,REP,Cambria,Lower Yoder Twp 1,,
Write In,State House,71,,Cambria,Lower Yoder Twp 1,,
Frank Burns,State House,72,DEM,Cambria,Lower Yoder Twp 1,334,
Jerry Carnicella,State House,72,REP,Cambria,Lower Yoder Twp 1,215,
Write In,State House,72,,Cambria,Lower Yoder Twp 1,2,
Tommy Sankey,State House,73,DEM/REP,Cambria,Lower Yoder Twp 1,,
Write In,State House,73,,Cambria,Lower Yoder Twp 1,,
Bob Casey,U.S. Senate,,DEM,Cambria,Lower Yoder Twp 2,284,
Lou Barletta,U.S. Senate,,REP,Cambria,Lower Yoder Twp 2,313,
Neal Gale,U.S. Senate,,GR,Cambria,Lower Yoder Twp 2,4,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Lower Yoder Twp 2,0,
Write In,U.S. Senate,,,Cambria,Lower Yoder Twp 2,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Lower Yoder Twp 2,275,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Lower Yoder Twp 2,316,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Lower Yoder Twp 2,2,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Lower Yoder Twp 2,6,
Write In,Governor & Lieutenant Governor,,,Cambria,Lower Yoder Twp 2,0,
Brent Ottaway,US House,13,DEM,Cambria,Lower Yoder Twp 2,233,
John Joyce,US House,13,REP,Cambria,Lower Yoder Twp 2,361,
Write In,US House,13,,Cambria,Lower Yoder Twp 2,1,
Susan Boser,US House,15,DEM,Cambria,Lower Yoder Twp 2,,
Glenn Gt Thompson,US House,15,REP,Cambria,Lower Yoder Twp 2,,
Write In,US House,15,,Cambria,Lower Yoder Twp 2,,
Bryan Barbin,State House,71,DEM,Cambria,Lower Yoder Twp 2,,
Jim Rigby,State House,71,REP,Cambria,Lower Yoder Twp 2,,
Write In,State House,71,,Cambria,Lower Yoder Twp 2,,
Frank Burns,State House,72,DEM,Cambria,Lower Yoder Twp 2,352,
Jerry Carnicella,State House,72,REP,Cambria,Lower Yoder Twp 2,246,
Write In,State House,72,,Cambria,Lower Yoder Twp 2,0,
Tommy Sankey,State House,73,DEM/REP,Cambria,Lower Yoder Twp 2,,
Write In,State House,73,,Cambria,Lower Yoder Twp 2,,
Bob Casey,U.S. Senate,,DEM,Cambria,Middle Taylor Twp,114,
Lou Barletta,U.S. Senate,,REP,Cambria,Middle Taylor Twp,182,
Neal Gale,U.S. Senate,,GR,Cambria,Middle Taylor Twp,5,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Middle Taylor Twp,6,
Write In,U.S. Senate,,,Cambria,Middle Taylor Twp,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Middle Taylor Twp,117,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Middle Taylor Twp,184,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Middle Taylor Twp,2,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Middle Taylor Twp,3,
Write In,Governor & Lieutenant Governor,,,Cambria,Middle Taylor Twp,0,
Brent Ottaway,US House,13,DEM,Cambria,Middle Taylor Twp,91,
John Joyce,US House,13,REP,Cambria,Middle Taylor Twp,215,
Write In,US House,13,,Cambria,Middle Taylor Twp,0,
Susan Boser,US House,15,DEM,Cambria,Middle Taylor Twp,,
Glenn Gt Thompson,US House,15,REP,Cambria,Middle Taylor Twp,,
Write In,US House,15,,Cambria,Middle Taylor Twp,,
Bryan Barbin,State House,71,DEM,Cambria,Middle Taylor Twp,,
Jim Rigby,State House,71,REP,Cambria,Middle Taylor Twp,,
Write In,State House,71,,Cambria,Middle Taylor Twp,,
Frank Burns,State House,72,DEM,Cambria,Middle Taylor Twp,164,
Jerry Carnicella,State House,72,REP,Cambria,Middle Taylor Twp,137,
Write In,State House,72,,Cambria,Middle Taylor Twp,4,
Tommy Sankey,State House,73,DEM/REP,Cambria,Middle Taylor Twp,,
Write In,State House,73,,Cambria,Middle Taylor Twp,,
Bob Casey,U.S. Senate,,DEM,Cambria,Munster Twp,66,
Lou Barletta,U.S. Senate,,REP,Cambria,Munster Twp,235,
Neal Gale,U.S. Senate,,GR,Cambria,Munster Twp,1,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Munster Twp,1,
Write In,U.S. Senate,,,Cambria,Munster Twp,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Munster Twp,59,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Munster Twp,241,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Munster Twp,3,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Munster Twp,0,
Write In,Governor & Lieutenant Governor,,,Cambria,Munster Twp,0,
Brent Ottaway,US House,13,DEM,Cambria,Munster Twp,,
John Joyce,US House,13,REP,Cambria,Munster Twp,,
Write In,US House,13,,Cambria,Munster Twp,,
Susan Boser,US House,15,DEM,Cambria,Munster Twp,51,
Glenn Gt Thompson,US House,15,REP,Cambria,Munster Twp,245,
Write In,US House,15,,Cambria,Munster Twp,0,
Bryan Barbin,State House,71,DEM,Cambria,Munster Twp,,
Jim Rigby,State House,71,REP,Cambria,Munster Twp,,
Write In,State House,71,,Cambria,Munster Twp,,
Frank Burns,State House,72,DEM,Cambria,Munster Twp,136,
Jerry Carnicella,State House,72,REP,Cambria,Munster Twp,168,
Write In,State House,72,,Cambria,Munster Twp,0,
Tommy Sankey,State House,73,DEM/REP,Cambria,Munster Twp,,
Write In,State House,73,,Cambria,Munster Twp,,
Bob Casey,U.S. Senate,,DEM,Cambria,Nanty Glo Boro - First Wd,157,
Lou Barletta,U.S. Senate,,REP,Cambria,Nanty Glo Boro - First Wd,189,
Neal Gale,U.S. Senate,,GR,Cambria,Nanty Glo Boro - First Wd,1,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Nanty Glo Boro - First Wd,1,
Write In,U.S. Senate,,,Cambria,Nanty Glo Boro - First Wd,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Nanty Glo Boro - First Wd,152,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Nanty Glo Boro - First Wd,196,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Nanty Glo Boro - First Wd,6,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Nanty Glo Boro - First Wd,0,
Write In,Governor & Lieutenant Governor,,,Cambria,Nanty Glo Boro - First Wd,0,
Brent Ottaway,US House,13,DEM,Cambria,Nanty Glo Boro - First Wd,,
John Joyce,US House,13,REP,Cambria,Nanty Glo Boro - First Wd,,
Write In,US House,13,,Cambria,Nanty Glo Boro - First Wd,,
Susan Boser,US House,15,DEM,Cambria,Nanty Glo Boro - First Wd,141,
Glenn Gt Thompson,US House,15,REP,Cambria,Nanty Glo Boro - First Wd,208,
Write In,US House,15,,Cambria,Nanty Glo Boro - First Wd,0,
Bryan Barbin,State House,71,DEM,Cambria,Nanty Glo Boro - First Wd,,
Jim Rigby,State House,71,REP,Cambria,Nanty Glo Boro - First Wd,,
Write In,State House,71,,Cambria,Nanty Glo Boro - First Wd,,
Frank Burns,State House,72,DEM,Cambria,Nanty Glo Boro - First Wd,,
Jerry Carnicella,State House,72,REP,Cambria,Nanty Glo Boro - First Wd,,
Write In,State House,72,,Cambria,Nanty Glo Boro - First Wd,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Nanty Glo Boro - First Wd,323,
Write In,State House,73,,Cambria,Nanty Glo Boro - First Wd,4,
Bob Casey,U.S. Senate,,DEM,Cambria,Nanty Glo Boro - Second Wd,234,
Lou Barletta,U.S. Senate,,REP,Cambria,Nanty Glo Boro - Second Wd,224,
Neal Gale,U.S. Senate,,GR,Cambria,Nanty Glo Boro - Second Wd,1,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Nanty Glo Boro - Second Wd,5,
Write In,U.S. Senate,,,Cambria,Nanty Glo Boro - Second Wd,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Nanty Glo Boro - Second Wd,237,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Nanty Glo Boro - Second Wd,220,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Nanty Glo Boro - Second Wd,2,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Nanty Glo Boro - Second Wd,6,
Write In,Governor & Lieutenant Governor,,,Cambria,Nanty Glo Boro - Second Wd,0,
Brent Ottaway,US House,13,DEM,Cambria,Nanty Glo Boro - Second Wd,,
John Joyce,US House,13,REP,Cambria,Nanty Glo Boro - Second Wd,,
Write In,US House,13,,Cambria,Nanty Glo Boro - Second Wd,,
Susan Boser,US House,15,DEM,Cambria,Nanty Glo Boro - Second Wd,204,
Glenn Gt Thompson,US House,15,REP,Cambria,Nanty Glo Boro - Second Wd,260,
Write In,US House,15,,Cambria,Nanty Glo Boro - Second Wd,0,
Bryan Barbin,State House,71,DEM,Cambria,Nanty Glo Boro - Second Wd,,
Jim Rigby,State House,71,REP,Cambria,Nanty Glo Boro - Second Wd,,
Write In,State House,71,,Cambria,Nanty Glo Boro - Second Wd,,
Frank Burns,State House,72,DEM,Cambria,Nanty Glo Boro - Second Wd,,
Jerry Carnicella,State House,72,REP,Cambria,Nanty Glo Boro - Second Wd,,
Write In,State House,72,,Cambria,Nanty Glo Boro - Second Wd,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Nanty Glo Boro - Second Wd,434,
Write In,State House,73,,Cambria,Nanty Glo Boro - Second Wd,1,
Bob Casey,U.S. Senate,,DEM,Cambria,Northern Cambria Boro 1,100,
Lou Barletta,U.S. Senate,,REP,Cambria,Northern Cambria Boro 1,130,
Neal Gale,U.S. Senate,,GR,Cambria,Northern Cambria Boro 1,0,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Northern Cambria Boro 1,0,
Write In,U.S. Senate,,,Cambria,Northern Cambria Boro 1,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Northern Cambria Boro 1,95,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Northern Cambria Boro 1,131,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Northern Cambria Boro 1,1,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Northern Cambria Boro 1,2,
Write In,Governor & Lieutenant Governor,,,Cambria,Northern Cambria Boro 1,0,
Brent Ottaway,US House,13,DEM,Cambria,Northern Cambria Boro 1,,
John Joyce,US House,13,REP,Cambria,Northern Cambria Boro 1,,
Write In,US House,13,,Cambria,Northern Cambria Boro 1,,
Susan Boser,US House,15,DEM,Cambria,Northern Cambria Boro 1,74,
Glenn Gt Thompson,US House,15,REP,Cambria,Northern Cambria Boro 1,153,
Write In,US House,15,,Cambria,Northern Cambria Boro 1,0,
Bryan Barbin,State House,71,DEM,Cambria,Northern Cambria Boro 1,,
Jim Rigby,State House,71,REP,Cambria,Northern Cambria Boro 1,,
Write In,State House,71,,Cambria,Northern Cambria Boro 1,,
Frank Burns,State House,72,DEM,Cambria,Northern Cambria Boro 1,,
Jerry Carnicella,State House,72,REP,Cambria,Northern Cambria Boro 1,,
Write In,State House,72,,Cambria,Northern Cambria Boro 1,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Northern Cambria Boro 1,215,
Write In,State House,73,,Cambria,Northern Cambria Boro 1,0,
Bob Casey,U.S. Senate,,DEM,Cambria,Northern Cambria Boro 2,91,
Lou Barletta,U.S. Senate,,REP,Cambria,Northern Cambria Boro 2,101,
Neal Gale,U.S. Senate,,GR,Cambria,Northern Cambria Boro 2,0,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Northern Cambria Boro 2,4,
Write In,U.S. Senate,,,Cambria,Northern Cambria Boro 2,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Northern Cambria Boro 2,86,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Northern Cambria Boro 2,108,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Northern Cambria Boro 2,0,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Northern Cambria Boro 2,3,
Write In,Governor & Lieutenant Governor,,,Cambria,Northern Cambria Boro 2,0,
Brent Ottaway,US House,13,DEM,Cambria,Northern Cambria Boro 2,,
John Joyce,US House,13,REP,Cambria,Northern Cambria Boro 2,,
Write In,US House,13,,Cambria,Northern Cambria Boro 2,,
Susan Boser,US House,15,DEM,Cambria,Northern Cambria Boro 2,87,
Glenn Gt Thompson,US House,15,REP,Cambria,Northern Cambria Boro 2,107,
Write In,US House,15,,Cambria,Northern Cambria Boro 2,0,
Bryan Barbin,State House,71,DEM,Cambria,Northern Cambria Boro 2,,
Jim Rigby,State House,71,REP,Cambria,Northern Cambria Boro 2,,
Write In,State House,71,,Cambria,Northern Cambria Boro 2,,
Frank Burns,State House,72,DEM,Cambria,Northern Cambria Boro 2,,
Jerry Carnicella,State House,72,REP,Cambria,Northern Cambria Boro 2,,
Write In,State House,72,,Cambria,Northern Cambria Boro 2,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Northern Cambria Boro 2,190,
Write In,State House,73,,Cambria,Northern Cambria Boro 2,0,
Bob Casey,U.S. Senate,,DEM,Cambria,Northern Cambria Boro 3,116,
Lou Barletta,U.S. Senate,,REP,Cambria,Northern Cambria Boro 3,144,
Neal Gale,U.S. Senate,,GR,Cambria,Northern Cambria Boro 3,2,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Northern Cambria Boro 3,3,
Write In,U.S. Senate,,,Cambria,Northern Cambria Boro 3,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Northern Cambria Boro 3,110,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Northern Cambria Boro 3,153,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Northern Cambria Boro 3,2,
