candidate,office,district,party,county,precinct,votes,election_night,absentee
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0048 NORTH BEAVER TWP D2,213,202.0,11.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0048 NORTH BEAVER TWP D2,382,363.0,18.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0048 NORTH BEAVER TWP D2,2,2.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0048 NORTH BEAVER TWP D2,12,12.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0048 NORTH BEAVER TWP D2,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0048 NORTH BEAVER TWP D2,241,229.0,12.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0048 NORTH BEAVER TWP D2,360,343.0,17.0
PAUL GLOVER,Governor,,GRN,Lawrence,0048 NORTH BEAVER TWP D2,3,3.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0048 NORTH BEAVER TWP D2,5,4.0,0.0
WRITE-IN,Governor,,,Lawrence,0048 NORTH BEAVER TWP D2,1,1.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0048 NORTH BEAVER TWP D2,210,199.0,11.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0048 NORTH BEAVER TWP D2,393,374.0,18.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0048 NORTH BEAVER TWP D2,7,7.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0048 NORTH BEAVER TWP D2,0,0.0,0.0
CHRIS SAINATO,State House,9.0,DEM,Lawrence,0048 NORTH BEAVER TWP D2,282,265.0,17.0
GREGORY MICHALEK,State House,9.0,REP,Lawrence,0048 NORTH BEAVER TWP D2,323,310.0,12.0
WRITE-IN,State House,9.0,,Lawrence,0048 NORTH BEAVER TWP D2,2,2.0,0.0
,Registered Voters,,,Lawrence,0049 NORTH BEAVER TWP D3,801,,
,Ballots Cast,,,Lawrence,0049 NORTH BEAVER TWP D3,516,496.0,20.0
,Straight Party,,DEM,Lawrence,0049 NORTH BEAVER TWP D3,71,68.0,3.0
,Straight Party,,REP,Lawrence,0049 NORTH BEAVER TWP D3,219,207.0,12.0
,Straight Party,,GRN,Lawrence,0049 NORTH BEAVER TWP D3,0,0.0,0.0
,Straight Party,,LIB,Lawrence,0049 NORTH BEAVER TWP D3,0,0.0,
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0049 NORTH BEAVER TWP D3,158,151.0,7.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0049 NORTH BEAVER TWP D3,344,331.0,13.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0049 NORTH BEAVER TWP D3,2,2.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0049 NORTH BEAVER TWP D3,6,6.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0049 NORTH BEAVER TWP D3,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0049 NORTH BEAVER TWP D3,173,167.0,6.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0049 NORTH BEAVER TWP D3,325,312.0,13.0
PAUL GLOVER,Governor,,GRN,Lawrence,0049 NORTH BEAVER TWP D3,4,4.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0049 NORTH BEAVER TWP D3,8,7.0,1.0
WRITE-IN,Governor,,,Lawrence,0049 NORTH BEAVER TWP D3,1,1.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0049 NORTH BEAVER TWP D3,138,131.0,7.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0049 NORTH BEAVER TWP D3,367,354.0,13.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0049 NORTH BEAVER TWP D3,3,3.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0049 NORTH BEAVER TWP D3,0,0.0,0.0
CHRIS SAINATO,State House,9.0,DEM,Lawrence,0049 NORTH BEAVER TWP D3,219,212.0,7.0
GREGORY MICHALEK,State House,9.0,REP,Lawrence,0049 NORTH BEAVER TWP D3,293,280.0,13.0
WRITE-IN,State House,9.0,,Lawrence,0049 NORTH BEAVER TWP D3,0,0.0,0.0
,Registered Voters,,,Lawrence,0050 PERRY TWP D1,442,,
,Ballots Cast,,,Lawrence,0050 PERRY TWP D1,288,284.0,4.0
,Straight Party,,DEM,Lawrence,0050 PERRY TWP D1,45,43.0,2.0
,Straight Party,,REP,Lawrence,0050 PERRY TWP D1,91,91.0,0.0
,Straight Party,,GRN,Lawrence,0050 PERRY TWP D1,2,1.0,1.0
,Straight Party,,LIB,Lawrence,0050 PERRY TWP D1,1,1.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0050 PERRY TWP D1,112,110.0,2.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0050 PERRY TWP D1,168,167.0,1.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0050 PERRY TWP D1,2,1.0,1.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0050 PERRY TWP D1,3,3.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0050 PERRY TWP D1,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0050 PERRY TWP D1,113,111.0,2.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0050 PERRY TWP D1,168,167.0,1.0
PAUL GLOVER,Governor,,GRN,Lawrence,0050 PERRY TWP D1,4,3.0,1.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0050 PERRY TWP D1,2,2.0,0.0
WRITE-IN,Governor,,,Lawrence,0050 PERRY TWP D1,0,0.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0050 PERRY TWP D1,108,106.0,2.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0050 PERRY TWP D1,173,172.0,1.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0050 PERRY TWP D1,2,2.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0050 PERRY TWP D1,2,2.0,0.0
AARON BERNSTINE,State House,10.0,REP,Lawrence,0050 PERRY TWP D1,233,230.0,3.0
DARCELLE L. SLAPPY,State House,10.0,GRN,Lawrence,0050 PERRY TWP D1,50,49.0,1.0
WRITE-IN,State House,10.0,,Lawrence,0050 PERRY TWP D1,2,2.0,0.0
,Registered Voters,,,Lawrence,0051 PERRY TWP D2,8296,,
,Ballots Cast,,,Lawrence,0051 PERRY TWP D2,550,537.0,11.0
,Straight Party,,DEM,Lawrence,0051 PERRY TWP D2,89,85.0,3.0
,Straight Party,,REP,Lawrence,0051 PERRY TWP D2,241,235.0,5.0
,Straight Party,,GRN,Lawrence,0051 PERRY TWP D2,1,1.0,0.0
,Straight Party,,LIB,Lawrence,0051 PERRY TWP D2,0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0051 PERRY TWP D2,179,175.0,3.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0051 PERRY TWP D2,361,352.0,8.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0051 PERRY TWP D2,2,2.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0051 PERRY TWP D2,3,3.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0051 PERRY TWP D2,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0051 PERRY TWP D2,184,181.0,3.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0051 PERRY TWP D2,354,345.0,8.0
PAUL GLOVER,Governor,,GRN,Lawrence,0051 PERRY TWP D2,5,5.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0051 PERRY TWP D2,3,3.0,0.0
WRITE-IN,Governor,,,Lawrence,0051 PERRY TWP D2,0,0.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0051 PERRY TWP D2,166,162.0,3.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0051 PERRY TWP D2,379,370.0,8.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0051 PERRY TWP D2,3,3.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0051 PERRY TWP D2,0,0.0,0.0
AARON BERNSTINE,State House,10.0,REP,Lawrence,0051 PERRY TWP D2,488,476.0,11.0
DARCELLE L. SLAPPY,State House,10.0,GRN,Lawrence,0051 PERRY TWP D2,44,44.0,0.0
WRITE-IN,State House,10.0,,Lawrence,0051 PERRY TWP D2,1,1.0,0.0
,Registered Voters,,,Lawrence,0052 PLAIN GROVE TWP,525,,
,Ballots Cast,,,Lawrence,0052 PLAIN GROVE TWP,312,305.0,7.0
,Straight Party,,DEM,Lawrence,0052 PLAIN GROVE TWP,34,32.0,2.0
,Straight Party,,REP,Lawrence,0052 PLAIN GROVE TWP,151,148.0,3.0
,Straight Party,,GRN,Lawrence,0052 PLAIN GROVE TWP,0,0.0,0.0
,Straight Party,,LIB,Lawrence,0052 PLAIN GROVE TWP,0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0052 PLAIN GROVE TWP,74,72.0,2.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0052 PLAIN GROVE TWP,228,223.0,5.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0052 PLAIN GROVE TWP,0,0.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0052 PLAIN GROVE TWP,5,5.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0052 PLAIN GROVE TWP,1,1.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0052 PLAIN GROVE TWP,77,75.0,2.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0052 PLAIN GROVE TWP,226,221.0,5.0
PAUL GLOVER,Governor,,GRN,Lawrence,0052 PLAIN GROVE TWP,0,0.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0052 PLAIN GROVE TWP,7,7.0,0.0
WRITE-IN,Governor,,,Lawrence,0052 PLAIN GROVE TWP,1,1.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0052 PLAIN GROVE TWP,74,72.0,2.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0052 PLAIN GROVE TWP,229,224.0,5.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0052 PLAIN GROVE TWP,4,4.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0052 PLAIN GROVE TWP,1,1.0,0.0
AARON BERNSTINE,State House,10.0,REP,Lawrence,0052 PLAIN GROVE TWP,281,274.0,7.0
DARCELLE L. SLAPPY,State House,10.0,GRN,Lawrence,0052 PLAIN GROVE TWP,20,20.0,0.0
WRITE-IN,State House,10.0,,Lawrence,0052 PLAIN GROVE TWP,3,3.0,0.0
,Registered Voters,,,Lawrence,0053 PULASKI TWP D1,647,,
,Ballots Cast,,,Lawrence,0053 PULASKI TWP D1,387,370.0,16.0
,Straight Party,,DEM,Lawrence,0053 PULASKI TWP D1,60,56.0,4.0
,Straight Party,,REP,Lawrence,0053 PULASKI TWP D1,165,159.0,6.0
,Straight Party,,GRN,Lawrence,0053 PULASKI TWP D1,1,1.0,0.0
,Straight Party,,LIB,Lawrence,0053 PULASKI TWP D1,1,1.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0053 PULASKI TWP D1,111,103.0,7.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0053 PULASKI TWP D1,262,253.0,9.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0053 PULASKI TWP D1,2,2.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0053 PULASKI TWP D1,4,4.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0053 PULASKI TWP D1,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0053 PULASKI TWP D1,119,111.0,7.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0053 PULASKI TWP D1,253,244.0,9.0
PAUL GLOVER,Governor,,GRN,Lawrence,0053 PULASKI TWP D1,1,1.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0053 PULASKI TWP D1,4,4.0,0.0
WRITE-IN,Governor,,,Lawrence,0053 PULASKI TWP D1,0,0.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0053 PULASKI TWP D1,110,104.0,5.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0053 PULASKI TWP D1,261,250.0,11.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0053 PULASKI TWP D1,4,4.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0053 PULASKI TWP D1,0,0.0,0.0
CHRIS SAINATO,State House,9.0,DEM,Lawrence,0053 PULASKI TWP D1,173,162.0,10.0
GREGORY MICHALEK,State House,9.0,REP,Lawrence,0053 PULASKI TWP D1,208,202.0,6.0
WRITE-IN,State House,9.0,,Lawrence,0053 PULASKI TWP D1,0,0.0,0.0
,Registered Voters,,,Lawrence,0054 PULASKI TWP D2,826,,
,Ballots Cast,,,Lawrence,0054 PULASKI TWP D2,464,440.0,24.0
,Straight Party,,DEM,Lawrence,0054 PULASKI TWP D2,85,82.0,3.0
,Straight Party,,REP,Lawrence,0054 PULASKI TWP D2,165,157.0,8.0
,Straight Party,,GRN,Lawrence,0054 PULASKI TWP D2,0,0.0,0.0
,Straight Party,,LIB,Lawrence,0054 PULASKI TWP D2,1,1.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0054 PULASKI TWP D2,177,169.0,8.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0054 PULASKI TWP D2,272,256.0,16.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0054 PULASKI TWP D2,3,3.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0054 PULASKI TWP D2,2,2.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0054 PULASKI TWP D2,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0054 PULASKI TWP D2,184,177.0,7.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0054 PULASKI TWP D2,267,250.0,17.0
PAUL GLOVER,Governor,,GRN,Lawrence,0054 PULASKI TWP D2,2,2.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0054 PULASKI TWP D2,6,6.0,0.0
WRITE-IN,Governor,,,Lawrence,0054 PULASKI TWP D2,0,0.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0054 PULASKI TWP D2,163,157.0,6.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0054 PULASKI TWP D2,289,271.0,18.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0054 PULASKI TWP D2,4,4.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0054 PULASKI TWP D2,0,0.0,0.0
CHRIS SAINATO,State House,9.0,DEM,Lawrence,0054 PULASKI TWP D2,239,227.0,12.0
GREGORY MICHALEK,State House,9.0,REP,Lawrence,0054 PULASKI TWP D2,221,209.0,12.0
WRITE-IN,State House,9.0,,Lawrence,0054 PULASKI TWP D2,2,2.0,0.0
,Registered Voters,,,Lawrence,0055 PULASKI TWP D3,588,,
,Ballots Cast,,,Lawrence,0055 PULASKI TWP D3,338,328.0,10.0
,Straight Party,,DEM,Lawrence,0055 PULASKI TWP D3,82,80.0,2.0
,Straight Party,,REP,Lawrence,0055 PULASKI TWP D3,127,123.0,4.0
,Straight Party,,GRN,Lawrence,0055 PULASKI TWP D3,0,0.0,0.0
,Straight Party,,LIB,Lawrence,0055 PULASKI TWP D3,1,1.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0055 PULASKI TWP D3,140,134.0,6.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0055 PULASKI TWP D3,188,184.0,4.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0055 PULASKI TWP D3,2,2.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0055 PULASKI TWP D3,3,3.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0055 PULASKI TWP D3,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0055 PULASKI TWP D3,145,141.0,4.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0055 PULASKI TWP D3,185,180.0,5.0
PAUL GLOVER,Governor,,GRN,Lawrence,0055 PULASKI TWP D3,4,4.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0055 PULASKI TWP D3,1,1.0,0.0
WRITE-IN,Governor,,,Lawrence,0055 PULASKI TWP D3,0,0.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0055 PULASKI TWP D3,134,131.0,3.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0055 PULASKI TWP D3,197,192.0,5.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0055 PULASKI TWP D3,2,2.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0055 PULASKI TWP D3,0,0.0,0.0
CHRIS SAINATO,State House,9.0,DEM,Lawrence,0055 PULASKI TWP D3,169,163.0,6.0
GREGORY MICHALEK,State House,9.0,REP,Lawrence,0055 PULASKI TWP D3,166,162.0,4.0
WRITE-IN,State House,9.0,,Lawrence,0055 PULASKI TWP D3,0,0.0,0.0
,Registered Voters,,,Lawrence,0056 SCOTT TWP D1,701,,
,Ballots Cast,,,Lawrence,0056 SCOTT TWP D1,436,420.0,1.0
,Straight Party,,DEM,Lawrence,0056 SCOTT TWP D1,53,50.0,3.0
,Straight Party,,REP,Lawrence,0056 SCOTT TWP D1,164,158.0,6.0
,Straight Party,,GRN,Lawrence,0056 SCOTT TWP D1,0,0.0,0.0
,Straight Party,,LIB,Lawrence,0056 SCOTT TWP D1,1,1.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0056 SCOTT TWP D1,145,137.0,7.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0056 SCOTT TWP D1,279,271.0,8.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0056 SCOTT TWP D1,3,3.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0056 SCOTT TWP D1,4,4.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0056 SCOTT TWP D1,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0056 SCOTT TWP D1,171,163.0,7.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0056 SCOTT TWP D1,256,248.0,8.0
PAUL GLOVER,Governor,,GRN,Lawrence,0056 SCOTT TWP D1,3,3.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0056 SCOTT TWP D1,4,4.0,0.0
WRITE-IN,Governor,,,Lawrence,0056 SCOTT TWP D1,0,0.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0056 SCOTT TWP D1,128,121.0,6.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0056 SCOTT TWP D1,295,286.0,9.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0056 SCOTT TWP D1,11,11.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0056 SCOTT TWP D1,0,0.0,0.0
AARON BERNSTINE,State House,10.0,REP,Lawrence,0056 SCOTT TWP D1,386,372.0,14.0
DARCELLE L. SLAPPY,State House,10.0,GRN,Lawrence,0056 SCOTT TWP D1,40,38.0,1.0
WRITE-IN,State House,10.0,,Lawrence,0056 SCOTT TWP D1,3,3.0,0.0
,Registered Voters,,,Lawrence,0057 SCOTT TWP D2,800,,
,Ballots Cast,,,Lawrence,0057 SCOTT TWP D2,488,477.0,11.0
,Straight Party,,DEM,Lawrence,0057 SCOTT TWP D2,81,78.0,3.0
,Straight Party,,REP,Lawrence,0057 SCOTT TWP D2,208,204.0,4.0
,Straight Party,,GRN,Lawrence,0057 SCOTT TWP D2,1,1.0,0.0
,Straight Party,,LIB,Lawrence,0057 SCOTT TWP D2,1,1.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0057 SCOTT TWP D2,159,155.0,4.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0057 SCOTT TWP D2,316,310.0,6.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0057 SCOTT TWP D2,3,3.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0057 SCOTT TWP D2,6,5.0,1.0
WRITE-IN,U.S. Senate,,,Lawrence,0057 SCOTT TWP D2,1,1.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0057 SCOTT TWP D2,187,183.0,4.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0057 SCOTT TWP D2,294,288.0,6.0
PAUL GLOVER,Governor,,GRN,Lawrence,0057 SCOTT TWP D2,2,2.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0057 SCOTT TWP D2,4,3.0,1.0
WRITE-IN,Governor,,,Lawrence,0057 SCOTT TWP D2,1,1.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0057 SCOTT TWP D2,164,160.0,4.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0057 SCOTT TWP D2,316,309.0,7.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0057 SCOTT TWP D2,3,3.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0057 SCOTT TWP D2,0,0.0,0.0
AARON BERNSTINE,State House,10.0,REP,Lawrence,0057 SCOTT TWP D2,440,430.0,10.0
DARCELLE L. SLAPPY,State House,10.0,GRN,Lawrence,0057 SCOTT TWP D2,37,36.0,1.0
WRITE-IN,State House,10.0,,Lawrence,0057 SCOTT TWP D2,2,2.0,0.0
,Registered Voters,,,Lawrence,0058 SHENANGO TWP D1,916,,
,Ballots Cast,,,Lawrence,0058 SHENANGO TWP D1,541,526.0,15.0
,Straight Party,,DEM,Lawrence,0058 SHENANGO TWP D1,71,69.0,2.0
,Straight Party,,REP,Lawrence,0058 SHENANGO TWP D1,218,213.0,5.0
,Straight Party,,GRN,Lawrence,0058 SHENANGO TWP D1,0,0.0,0.0
,Straight Party,,LIB,Lawrence,0058 SHENANGO TWP D1,1,1.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0058 SHENANGO TWP D1,168,165.0,3.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0058 SHENANGO TWP D1,356,344.0,12.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0058 SHENANGO TWP D1,3,3.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0058 SHENANGO TWP D1,6,6.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0058 SHENANGO TWP D1,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0058 SHENANGO TWP D1,187,181.0,6.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0058 SHENANGO TWP D1,344,336.0,8.0
PAUL GLOVER,Governor,,GRN,Lawrence,0058 SHENANGO TWP D1,1,1.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0058 SHENANGO TWP D1,7,6.0,1.0
WRITE-IN,Governor,,,Lawrence,0058 SHENANGO TWP D1,0,0.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0058 SHENANGO TWP D1,147,144.0,3.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0058 SHENANGO TWP D1,380,368.0,12.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0058 SHENANGO TWP D1,12,12.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0058 SHENANGO TWP D1,0,0.0,0.0
CHRIS SAINATO,State House,9.0,DEM,Lawrence,0058 SHENANGO TWP D1,226,218.0,8.0
GREGORY MICHALEK,State House,9.0,REP,Lawrence,0058 SHENANGO TWP D1,310,303.0,7.0
WRITE-IN,State House,9.0,,Lawrence,0058 SHENANGO TWP D1,0,0.0,0.0
,Registered Voters,,,Lawrence,0059 SHENANGO TWP D2,874,,
,Ballots Cast,,,Lawrence,0059 SHENANGO TWP D2,578,563.0,15.0
,Straight Party,,DEM,Lawrence,0059 SHENANGO TWP D2,124,118.0,6.0
,Straight Party,,REP,Lawrence,0059 SHENANGO TWP D2,189,185.0,4.0
,Straight Party,,GRN,Lawrence,0059 SHENANGO TWP D2,0,0.0,0.0
,Straight Party,,LIB,Lawrence,0059 SHENANGO TWP D2,1,1.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0059 SHENANGO TWP D2,241,232.0,9.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0059 SHENANGO TWP D2,333,327.0,6.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0059 SHENANGO TWP D2,1,1.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0059 SHENANGO TWP D2,2,2.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0059 SHENANGO TWP D2,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0059 SHENANGO TWP D2,271,262.0,9.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0059 SHENANGO TWP D2,300,294.0,6.0
PAUL GLOVER,Governor,,GRN,Lawrence,0059 SHENANGO TWP D2,1,1.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0059 SHENANGO TWP D2,4,4.0,0.0
WRITE-IN,Governor,,,Lawrence,0059 SHENANGO TWP D2,0,0.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0059 SHENANGO TWP D2,241,233.0,8.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0059 SHENANGO TWP D2,327,320.0,7.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0059 SHENANGO TWP D2,7,7.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0059 SHENANGO TWP D2,0,0.0,0.0
CHRIS SAINATO,State House,9.0,DEM,Lawrence,0059 SHENANGO TWP D2,301,291.0,10.0
GREGORY MICHALEK,State House,9.0,REP,Lawrence,0059 SHENANGO TWP D2,275,270.0,5.0
WRITE-IN,State House,9.0,,Lawrence,0059 SHENANGO TWP D2,0,0.0,0.0
,Registered Voters,,,Lawrence,0060 SHENANGO TWP D3,600,,
,Ballots Cast,,,Lawrence,0060 SHENANGO TWP D3,327,317.0,10.0
,Straight Party,,DEM,Lawrence,0060 SHENANGO TWP D3,69,67.0,2.0
,Straight Party,,REP,Lawrence,0060 SHENANGO TWP D3,113,112.0,1.0
,Straight Party,,GRN,Lawrence,0060 SHENANGO TWP D3,0,0.0,0.0
,Straight Party,,LIB,Lawrence,0060 SHENANGO TWP D3,0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0060 SHENANGO TWP D3,137,134.0,3.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0060 SHENANGO TWP D3,186,179.0,7.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0060 SHENANGO TWP D3,2,2.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0060 SHENANGO TWP D3,1,1.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0060 SHENANGO TWP D3,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0060 SHENANGO TWP D3,142,139.0,3.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0060 SHENANGO TWP D3,180,173.0,7.0
PAUL GLOVER,Governor,,GRN,Lawrence,0060 SHENANGO TWP D3,2,2.0,0.0
